ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2
compares	k§paR	comparer	VER	VER			ind:pre:2s;	k_§|p_a_R_#	c_om|p_a_r_es	0.07	0.69
comparez	k§paRe	comparer	VER	VER			imp:pre:2p;ind:pre:2p;	k_§|p_a|R_e	c_om|p_a|r_ez	0.2	1.6
compariez	k§paRje	comparer	VER	VER			ind:imp:2p;	k_§|p_a|R_j_e	c_om|p_a|r_i_ez	0.07	0.07
comparions	k§paRj§	comparer	VER	VER			ind:imp:1p;	k_§|p_a|R_j_§	c_om|p_a|r_i_ons	0.27	0.02
comparoir	k§paRwaR	comparoir	VER	VER			inf;	k_§|p_a|R_wa_R	c_om|p_a|r_oi_r	0.0	0.01
comparons	k§paR§	comparer	VER	VER			imp:pre:1p;ind:pre:1p;	k_§|p_a|R_§	c_om|p_a|r_ons	0.14	0.17
comparse	k§paRs	comparse	NOM	NOM		s		k_§|p_a_R_s_#	c_om|p_a_r_s_e	0.54	0.13
comparses	k§paRs	comparse	NOM	NOM		p		k_§|p_a_R_s_#	c_om|p_a_r_s_es	1.22	0.05
compartiment	k§paRtim@	compartiment	NOM	NOM	m	s		k_§|p_a_R|t_i|m_@	c_om|p_a_r|t_i|m_ent	10.54	5.58
compartimentage	k§paRtim@taZ	compartimentage	NOM	NOM	m	s		k_§|p_a_R|t_i|m_@|t_a_Z	c_om|p_a_r|t_i|m_en|t_a_ge	0.07	0.0
compartimentaient	k§paRtim@tE	compartimenter	VER	VER			ind:imp:3p;	k_§|p_a_R|t_i|m_@|t_E	c_om|p_a_r|t_i|m_en|t_aient	0.07	0.0
compartimentant	k§paRtim@t@	compartimenter	VER	VER			par:pre;	k_§|p_a_R|t_i|m_@|t_@	c_om|p_a_r|t_i|m_en|t_ant	0.07	0.01
compartimente	k§paRtim@t	compartimenter	VER	VER			imp:pre:2s;	k_§|p_a_R|t_i|m_@_t_#	c_om|p_a_r|t_i|m_en_t_e	0.0	0.01
compartimenter	k§paRtim@te	compartimenter	VER	VER			inf;	k_§|p_a_R|t_i|m_@|t_e	c_om|p_a_r|t_i|m_en|t_er	0.0	0.07
compartiments	k§paRtim@	compartiment	NOM	NOM	m	p		k_§|p_a_R|t_i|m_@_#	c_om|p_a_r|t_i|m_en_ts	3.04	1.15
compartimenté	k§paRtim@te	compartimenté	ADJ	VER,ADJ	m	s		k_§|p_a_R|t_i|m_@|t_e	c_om|p_a_r|t_i|m_en|t_é	0.14	0.02
compartimenté	k§paRtim@te	compartimenter	VER	VER,ADJ	m	s	par:pas;	k_§|p_a_R|t_i|m_@|t_e	c_om|p_a_r|t_i|m_en|t_é	0.07	0.0
compartimentée	k§paRtim@te	compartimenter	VER	VER,ADJ	f	s	par:pas;	k_§|p_a_R|t_i|m_@|t_e_#	c_om|p_a_r|t_i|m_en|t_é_e	0.07	0.0
compartimentée	k§paRtim@te	compartimenté	ADJ	VER,ADJ	f	s		k_§|p_a_R|t_i|m_@|t_e_#	c_om|p_a_r|t_i|m_en|t_é_e	0.07	0.0
comparu	k§paRy	comparaître	VER	VER	m	s	par:pas;	k_§|p_a|R_y	c_om|p_a|r_u	0.41	0.13
comparut	k§paRy	comparaître	VER	VER			ind:pas:3s;	k_§|p_a|R_y	c_om|p_a|r_ut	0.27	0.02
comparution	k§paRysj§	comparution	NOM	NOM	f	s		k_§|p_a|R_y|s_j_§	c_om|p_a|r_u|t_i_on	0.34	0.34
comparé	k§paRe	comparer	VER	VER,ADJ	m	s	par:pas;	k_§|p_a|R_e	c_om|p_a|r_é	2.36	6.47
comparé	k§paRe	comparé	ADJ	VER,ADJ	m	s		k_§|p_a|R_e	c_om|p_a|r_é	0.07	0.09
comparée	k§paRe	comparer	VER	VER,ADJ	f	s	par:pas;	k_§|p_a|R_e_#	c_om|p_a|r_é_e	2.09	1.5
comparée	k§paRe	comparé	ADJ	VER,ADJ	f	s		k_§|p_a|R_e_#	c_om|p_a|r_é_e	0.07	0.2
comparées	k§paRe	comparer	VER	VER,ADJ	f	p	par:pas;	k_§|p_a|R_e_#	c_om|p_a|r_é_es	0.68	0.35
comparées	k§paRe	comparé	ADJ	VER,ADJ	f	p		k_§|p_a|R_e_#	c_om|p_a|r_é_es	0.14	0.01
comparés	k§paRe	comparer	VER	VER,ADJ	m	p	par:pas;	k_§|p_a|R_e_#	c_om|p_a|r_é_s	1.28	0.28
comparés	k§paRe	comparé	ADJ	VER,ADJ	m	p		k_§|p_a|R_e_#	c_om|p_a|r_é_s	0.07	0.0
